direction,chrf++
ace_Arab-eng_Latn,32.9
ace_Latn-eng_Latn,49
acm_Arab-eng_Latn,60.5
acq_Arab-eng_Latn,62
aeb_Arab-eng_Latn,57.5
afr_Latn-eng_Latn,75.8
afr_Latn-nso_Latn,47.4
afr_Latn-ssw_Latn,41.2
afr_Latn-tso_Latn,47.1
ajp_Arab-eng_Latn,64.2
aka_Latn-eng_Latn,44.3
als_Latn-eng_Latn,65.9
amh_Ethi-eng_Latn,59
amh_Ethi-tir_Ethi,23
apc_Arab-eng_Latn,62.8
arb_Arab-eng_Latn,65.8
ars_Arab-eng_Latn,63.1
ary_Arab-eng_Latn,54.7
arz_Arab-eng_Latn,58.6
asm_Beng-awa_Deva,34.4
asm_Beng-bho_Deva,34.4
asm_Beng-eng_Latn,56.6
asm_Beng-guj_Gujr,41.9
asm_Beng-mar_Deva,38.7
asm_Beng-npi_Deva,40.4
asm_Beng-pan_Guru,39.8
asm_Beng-san_Deva,23.1
asm_Beng-tam_Taml,43.8
ast_Latn-eng_Latn,63.9
ast_Latn-glg_Latn,53.7
awa_Deva-bho_Deva,41.3
awa_Deva-eng_Latn,64.1
awa_Deva-kan_Knda,46.1
awa_Deva-mai_Deva,45
awa_Deva-tam_Taml,47.4
awa_Deva-tel_Telu,46.7
ayr_Latn-eng_Latn,32.2
azb_Arab-eng_Latn,43.6
azj_Latn-eng_Latn,53
bak_Cyrl-eng_Latn,56.9
bak_Cyrl-tat_Cyrl,50.4
bam_Latn-eng_Latn,38.9
ban_Latn-ace_Latn,34.2
ban_Latn-eng_Latn,58.7
bel_Cyrl-eng_Latn,51.7
bem_Latn-eng_Latn,50.2
ben_Beng-eng_Latn,61.1
ben_Beng-guj_Gujr,44.8
ben_Beng-hne_Deva,41.6
ben_Beng-kan_Knda,45.4
ben_Beng-mal_Mlym,42.7
ben_Beng-mar_Deva,40.6
ben_Beng-npi_Deva,42.3
ben_Beng-ory_Orya,41.4
ben_Beng-pan_Guru,42.5
ben_Beng-sin_Sinh,38.9
ben_Beng-tam_Taml,46.8
ben_Beng-urd_Arab,42.2
bho_Deva-eng_Latn,57.2
bho_Deva-guj_Gujr,42.9
bho_Deva-kan_Knda,43.1
bho_Deva-mag_Deva,47.1
bho_Deva-snd_Arab,38.7
bjn_Arab-eng_Latn,36.1
bjn_Latn-eng_Latn,60.3
bod_Tibt-eng_Latn,37.2
bos_Latn-eng_Latn,66.7
bos_Latn-slk_Latn,51.3
bos_Latn-srp_Cyrl,53.9
bug_Latn-eng_Latn,44.3
bul_Cyrl-bel_Cyrl,39.2
bul_Cyrl-eng_Latn,66.3
cat_Latn-ast_Latn,51.8
cat_Latn-eng_Latn,69.5
cat_Latn-glg_Latn,57.1
ceb_Latn-eng_Latn,66.8
ces_Latn-eng_Latn,64.5
cjk_Latn-eng_Latn,30.6
ckb_Arab-eng_Latn,58.8
crh_Latn-eng_Latn,58.1
crh_Latn-hun_Latn,44.8
crh_Latn-hye_Armn,43.6
crh_Latn-ukr_Cyrl,46.2
cym_Latn-eng_Latn,73.7
cym_Latn-gla_Latn,46.2
dan_Latn-eng_Latn,69.9
deu_Latn-eng_Latn,67.4
dik_Latn-eng_Latn,30.6
dyu_Latn-eng_Latn,27.9
dzo_Tibt-eng_Latn,40.1
ell_Grek-eng_Latn,62
eng_Latn-ace_Arab,19.7
eng_Latn-ace_Latn,37.4
eng_Latn-acm_Arab,38.4
eng_Latn-acq_Arab,45.1
eng_Latn-aeb_Arab,34.6
eng_Latn-afr_Latn,64.7
eng_Latn-ajp_Arab,49.7
eng_Latn-aka_Latn,34.7
eng_Latn-als_Latn,58
eng_Latn-amh_Ethi,37.9
eng_Latn-apc_Arab,47.9
eng_Latn-arb_Arab,55
eng_Latn-ars_Arab,51.7
eng_Latn-ary_Arab,36.1
eng_Latn-arz_Arab,44.8
eng_Latn-asm_Beng,36.9
eng_Latn-ast_Latn,55.2
eng_Latn-awa_Deva,41.5
eng_Latn-ayr_Latn,29.6
eng_Latn-azb_Arab,23.8
eng_Latn-azj_Latn,43.3
eng_Latn-bak_Cyrl,47.5
eng_Latn-bam_Latn,31.4
