lang,num_sents_publ,num_sents_seed,num_sents_gerl
aar_Latn,10150,0,0
afr_Latn,283,0,0
aka_Latn,25420,0,0
alt_Cyrl,385248,0,0
amh_Ethi,25238,0,0
ara_Arab,24568,0,0
aze_Latn,4481100,0,0
bak_Cyrl,1786246,0,0
ben_Beng,1312269,0,0
chv_Cyrl,2919986,0,0
cjs_Cyrl,4588,0,0
ckb_Arab,6142,0,0
crh_Cyrl,370590,0,0
din_Latn,3071,0,0
eng_Latn,87040279,6193,540
ewe_Latn,23663,0,540
fas_Arab,6142,0,0
fon_Latn,108115,0,0
fra_Latn,176622,0,0
fuv_Latn,6142,6193,0
gag_Latn,314746,0,0
guj_Gujr,521291,0,0
hat_Latn,1619,0,0
hau_Latn,3071,0,0
hin_Deva,3106535,0,0
ind_Latn,36139,0,0
kaa_Cyrl,507696,0,0
kan_Knda,400242,0,0
kaz_Cyrl,10534642,0,0
khm_Khmr,3071,0,0
kin_Latn,25483,0,0
kir_Cyrl,3514486,0,0
kjh_Cyrl,437950,0,0
kmr_Latn,6142,0,0
knc_Arab,3071,6193,0
krc_Cyrl,325526,0,0
kum_Cyrl,331180,0,0
lin_Latn,7992,0,0
lug_Latn,21164,0,0
mal_Mlym,1145401,0,0
mar_Deva,630860,0,0
min_Latn,11571,0,0
msa_Latn,3071,0,0
mya_Mymr,3071,0,0
nde_Latn,283,0,0
nno_Latn,300585,0,0
nob_Latn,300585,0,0
npi_Deva,3071,0,0
nus_Latn,3071,6193,0
orm_Latn,19718,0,0
ory_Orya,255550,0,0
pan_Guru,521889,0,0
por_Latn,24568,0,0
prs_Arab,6142,6193,0
pus_Arab,3071,0,0
rus_Cyrl,46689276,0,0
sah_Cyrl,314272,0,0
slr_Latn,1532,0,0
som_Latn,13221,0,0
sot_Latn,283,0,0
spa_Latn,24568,0,0
ssw_Latn,283,0,0
swh_Latn,6142,0,0
tam_Taml,1360613,0,0
tat_Cyrl,3549662,0,0
tel_Telu,460792,0,0
tgl_Latn,3071,0,0
tir_Erit,3071,0,0
tir_Ethi,14101,0,0
tsn_Latn,283,0,0
tso_Latn,283,0,0
tuk_Latn,1841930,0,0
tur_Latn,105224934,0,0
tyv_Cyrl,206380,0,0
uig_Arab,686064,0,0
urd_Arab,6142,0,0
uum_Latn,982,0,0
uzb_Latn,5784520,0,0
ven_Latn,283,0,0
xho_Latn,283,0,0
yor_Latn,10070,0,0
zho_Hans,24568,0,0
zul_Latn,11164,0,0
